procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 178220  18048 327044    0    0     0     0  380  472  2  0 98  0
 0  0      0 178220  18048 327044    0    0     0     0  432  556  2  2 96  0
 0  0      0 178220  18048 327044    0    0     0     0  436  559  1  0 99  0
 0  0      0 178220  18056 327044    0    0     0    12  442  570  2  1 96  1
 0  0      0 178220  18056 327044    0    0     0     4  439  565  2  1 97  0
 0  0      0 178220  18056 327044    0    0     0     0  452  565  1  1 98  0
 0  0      0 178220  18056 327044    0    0     0     0  435  561  1  1 98  0
 0  0      0 178220  18056 327044    0    0     0     0  443  569  2  1 97  0
 0  0      0 178220  18056 327044    0    0     0     0  442  568  2  0 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178220  18064 327044    0    0     0    36  443  568  2  1 97  0
 0  0      0 178220  18064 327044    0    0     0     0  446  563  2  1 97  0
 0  0      0 178220  18064 327044    0    0     0     0  442  579  2  2 96  0
 0  0      0 178220  18064 327044    0    0     0     0  442  573  1  1 97  0
 0  0      0 178220  18064 327044    0    0     0     0  446  560  2  1 97  0
 0  0      0 178220  18064 327044    0    0     0     0  445  565  1  0 99  0
 0  0      0 178220  18072 327044    0    0     0    16  441  562  2  1 96  1
 0  0      0 178220  18072 327044    0    0     0     0  429  546  1  1 98  0
 0  0      0 178220  18072 327044    0    0     0     0  353  467  1  1 98  0
 0  0      0 178220  18072 327044    0    0     0     0  441  551  1  1 98  0
 0  0      0 178220  18072 327044    0    0     0     0  442  575  2  3 95  0
 0  0      0 178220  18072 327044    0    0     0     0   25   24  0  0 100  0
 0  0      0 178220  18080 327044    0    0     0    16  430  553  1  0 99  0
 0  0      0 178220  18080 327044    0    0     0     0  445  573  1  1 98  0
 0  0      0 178220  18080 327044    0    0     0     0  447  558  1  1 98  0
 0  0      0 178220  18080 327044    0    0     0     0  446  564  1  2 97  0
 0  0      0 178220  18080 327044    0    0     0     0  433  560  0  1 99  0
 0  0      0 178220  18080 327044    0    0     0     0  433  555  2  1 97  0
 0  0      0 178220  18088 327044    0    0     0    16  448  580  2  1 96  1
 0  0      0 178220  18088 327044    0    0     0     0  435  558  2  2 96  0
 0  0      0 178220  18088 327044    0    0     0     0  452  571  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178220  18088 327044    0    0     0     0  446  560  1  1 98  0
 0  0      0 178220  18088 327044    0    0     0     0  443  563  2  1 97  0
 0  0      0 178220  18088 327044    0    0     0     0  449  558  1  2 96  0
 0  0      0 178220  18096 327044    0    0     0    16  451  578  1  0 99  0
 0  0      0 178220  18096 327044    0    0     0     0  143  198  1  0 99  0
 0  0      0 178220  18096 327044    0    0     0     0    9   12  0  0 100  0
 0  0      0 178220  18096 327044    0    0     0     0    8   12  0  0 100  0
 0  0      0 178220  18096 327044    0    0     0     0    9   13  0  0 100  0
 0  0      0 178220  18096 327048    0    0     0     0   11   15  0  0 100  0
 0  0      0 178220  18104 327048    0    0     0    20   14   21  0  0 99  1
 0  0      0 178220  18104 327048    0    0     0     0    9   14  0  0 100  0
 0  0      0 178220  18104 327048    0    0     0     0    8   15  0  0 100  0
 0  0      0 178220  18104 327048    0    0     0     0   11   15  0  0 100  0
 0  0      0 178220  18104 327048    0    0     0     0   10   13  0  0 100  0
 0  0      0 178220  18104 327048    0    0     0     0   11   16  0  0 100  0
 0  0      0 178220  18112 327048    0    0     0    24   12   21  0  1 98  1
 0  0      0 178220  18112 327048    0    0     0     0    9   15  0  0 100  0
 0  0      0 178220  18112 327048    0    0     0     0    9   13  0  0 100  0
 0  0      0 178220  18112 327048    0    0     0     0    8   15  0  0 100  0
 0  0      0 178220  18112 327048    0    0     0     8   12   23  0  0 100  0
 0  0      0 178220  18112 327048    0    0     0     0   10   16  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 178220  18120 327048    0    0     0    16   15   31  0  0 99  1
 0  0      0 178220  18120 327048    0    0     0     0    9   13  0  0 100  0
 0  0      0 178220  18120 327048    0    0     0     0   10   13  0  0 100  0
 0  0      0 178220  18120 327048    0    0     0     0   11   17  0  0 100  0
 0  0      0 178220  18120 327048    0    0     0     0    9   13  0  0 100  0
 0  0      0 178220  18120 327048    0    0     0     0    9   14  0  0 100  0
 0  0      0 178220  18128 327048    0    0     0    16   12   21  0  0 100  0
 0  0      0 178220  18128 327048    0    0     0     0    9   15  0  0 100  0
 0  0      0 178220  18128 327048    0    0     0     0   10   15  0  0 100  0
 0  0      0 178220  18128 327048    0    0     0     0    8   13  0  0 100  0
 0  0      0 178220  18128 327048    0    0     0     0    8   13  0  0 100  0
 0  0      0 178220  18128 327048    0    0     0     0   10   16  0  0 100  0
 0  0      0 178220  18136 327048    0    0     0    16   12   21  0  0 99  1
 0  0      0 178220  18136 327048    0    0     0     0    9   15  0  0 100  0
 0  0      0 178344  18136 327048    0    0     0     0    9   21  0  0 100  0
 0  0      0 178344  18136 327048    0    0     0     0    9   15  0  0 100  0
 0  0      0 178344  18136 327048    0    0     0     0    9   13  0  0 100  0
 0  0      0 178344  18136 327048    0    0     0     0    9   14  0  0 100  0
 0  0      0 178344  18144 327048    0    0     0    16   12   23  0  0 100  0
 0  0      0 178344  18144 327048    0    0     0     0   10   17  0  0 100  0
 0  0      0 178344  18144 327048    0    0     0     0   10   13  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 178344  18144 327048    0    0     0     0   11   25  0  0 100  0
 0  0      0 178344  18144 327048    0    0     0     0    8   13  0  0 100  0
 0  0      0 178344  18144 327048    0    0     0     4   13   20  0  0 100  0
 0  0      0 178344  18152 327048    0    0     0    16   13   21  0  0 99  1
 0  0      0 178344  18152 327048    0    0     0     0    8   13  0  0 100  0
 0  0      0 178344  18152 327048    0    0     0     0    8   13  0  0 100  0
 0  0      0 178344  18152 327048    0    0     0     0   10   15  0  1 99  0
 0  0      0 178344  18152 327048    0    0     0     0   11   17  0  0 100  0
 0  0      0 178468  18152 327048    0    0     0     0   11   20  0  0 100  0
 0  0      0 178468  18160 327048    0    0     0    16   11   21  0  0 99  1
 0  0      0 178468  18160 327048    0    0     0     0    9   15  0  0 100  0
 0  0      0 178468  18160 327048    0    0     0     0   10   13  0  0 100  0
 0  0      0 178468  18160 327048    0    0     0     0   10   15  0  0 100  0
 0  0      0 178468  18160 327048    0    0     0     0    8   13  0  0 100  0
 0  0      0 178468  18160 327052    0    0     0     0   10   18  0  0 100  0
 0  0      0 178468  18168 327052    0    0     0    16   13   23  0  0 99  1
 0  0      0 178468  18168 327052    0    0     0     0    8   13  0  0 100  0
 0  0      0 178468  18168 327052    0    0     0     0   10   17  0  0 100  0
 0  0      0 178468  18168 327052    0    0     0     0    9   15  0  0 100  0
 0  0      0 178468  18168 327052    0    0     0     0   10   13  0  0 100  0
 0  0      0 178468  18168 327052    0    0     0     0    9   14  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 178468  18176 327052    0    0     0    12   12   29  0  0 97  3
 0  0      0 178468  18176 327052    0    0     0     0   10   18  0  0 100  0
 0  0      0 178468  18176 327052    0    0     0     0   11   19  0  0 100  0
 0  0      0 178468  18176 327052    0    0     0     0    8   13  0  0 100  0
 0  0      0 178468  18176 327052    0    0     0     0    9   13  0  1 99  0
 0  0      0 178468  18176 327052    0    0     0     0  139  181  0  1 99  0
 0  0      0 178468  18184 327052    0    0     0    12  285  384  2  0 96  2
 0  0      0 178468  18184 327052    0    0     0     0  284  367  2  1 97  0
 0  0      0 178468  18184 327052    0    0     0     0  275  363  1  1 98  0
 0  0      0 178468  18184 327052    0    0     0     0  277  364  2  1 97  0
 0  0      0 178468  18184 327052    0    0     0     0  281  365  1  1 98  0
 0  0      0 178468  18184 327052    0    0     0     0  277  349  2  2 96  0
 0  0      0 178468  18192 327052    0    0     0    12  269  348  3  0 97  0
 0  0      0 178468  18192 327052    0    0     0     0  333  436  3  0 97  0
 0  0      0 178468  18192 327052    0    0     0     0  455  554  2  0 98  0
 0  0      0 178468  18192 327052    0    0     0     0  433  550  1  2 97  0
 0  0      0 178468  18192 327052    0    0     0     4  442  574  4  1 94  0
